code,constituency,region,population,median_age,party,majority,turnout,classification
E14000530,Aldershot,South East,106193,38,Con,11473,0.642346302736041,Large Town
E14000531,Aldridge-Brownhills,West Midlands,77532,45,Con,14307,0.6665507015887215,Medium Town
E14000532,Altrincham and Sale West,North West,101457,42,Con,6426,0.7209187993335701,Medium Town
E14000533,Amber Valley,East Midlands,90132,44,Con,8300,0.6730478219349152,Small Town
E14000534,Arundel and South Downs,South East,100501,50,Con,23883,0.7581469085784746,Village or smaller
E14000535,Ashfield,East Midlands,106495,43,Lab,441,0.6403120036887135,Medium Town
E14000536,Ashford,South East,122178,41,Con,17478,0.6852163365260279,Large Town
E14000537,Ashton-under-Lyne,North West,92289,39,Lab,11295,0.5877146319118125,Medium Town
E14000538,Aylesbury,South East,121812,38,Con,14656,0.7121241489593682,Large Town
E14000539,Banbury,South East,122939,40,Con,12399,0.7344197365909525,Medium Town
E14000540,Barking,London,139764,31,Lab,21608,0.6190309262288697,Core City (London)
E14000541,Barnsley Central,Yorkshire and The Humber,90319,41,Lab,15546,0.6087938446202729,Large Town
E14000542,Barnsley East,Yorkshire and The Humber,94604,41,Lab,13283,0.5891293668910914,Small Town
E14000543,Barrow and Furness,North West,86806,46,Lab,209,0.6850044621009298,Medium Town
E14000544,Basildon and Billericay,East,95530,39,Con,13400,0.6495827850005061,Large Town
E14000545,Basingstoke,South East,115046,37,Con,9466,0.6834809160305344,Large Town
E14000546,Bassetlaw,East Midlands,106994,44,Lab,4852,0.665266106442577,Medium Town
E14000547,Bath,South West,95024,32,LD,5694,0.7425050166222409,Large Town
E14000548,Batley and Spen,Yorkshire and The Humber,111539,38,Lab,8961,0.6708998141240753,Large Town
E14000549,Battersea,London,115715,33,Lab,2416,0.7097481114806508,Core City (London)
E14000550,Beaconsfield,South East,102421,45,Con,24543,0.7227181259996904,Small Town
E14000551,Beckenham,London,92767,42,Con,15087,0.7601030548398969,Core City (London)
E14000552,Bedford,East,106341,38,Lab,789,0.674936307062607,Large Town
E14000553,Bermondsey and Old Southwark,London,144175,32,Lab,12972,0.6704818862995807,Core City (London)
E14000554,Berwick-upon-Tweed,North East,75542,50,Con,11781,0.7178057034026561,Village or smaller
E14000555,Bethnal Green and Bow,London,146820,30,Lab,35393,0.6950334011036886,Core City (London)
E14000556,Beverley and Holderness,Yorkshire and The Humber,100257,49,Con,14042,0.6898099359014097,Village or smaller
E14000557,Bexhill and Battle,South East,104993,51,Con,22165,0.7312340927813503,Village or smaller
E14000558,Bexleyheath and Crayford,London,93923,38,Con,9073,0.6918625124397152,Core City (London)
E14000559,Birkenhead,North West,90087,39,Lab,25514,0.6771137026239067,Large Town
E14000560,"Birmingham, Edgbaston",West Midlands,105317,32,Lab,6917,0.6404958070816995,Core City (outside London)
E14000561,"Birmingham, Erdington",West Midlands,103188,34,Lab,7285,0.5719796517435873,Core City (outside London)
E14000562,"Birmingham, Hall Green",West Midlands,120130,32,Lab,33944,0.6938712933270305,Core City (outside London)
E14000563,"Birmingham, Hodge Hill",West Midlands,129262,28,Lab,31026,0.6128827710111231,Core City (outside London)
E14000564,"Birmingham, Ladywood",West Midlands,146279,27,Lab,28714,0.5899061736857889,Core City (outside London)
E14000565,"Birmingham, Northfield",West Midlands,103704,37,Lab,4667,0.613202068526866,Core City (outside London)
E14000566,"Birmingham, Perry Barr",West Midlands,112420,33,Lab,18383,0.6304310615353893,Core City (outside London)
E14000567,"Birmingham, Selly Oak",West Midlands,108848,31,Lab,15207,0.6586661288153826,Core City (outside London)
E14000568,"Birmingham, Yardley",West Midlands,113069,33,Lab,16574,0.6131356691145066,Core City (outside London)
E14000569,Bishop Auckland,North East,88794,45,Lab,502,0.6396742584354355,Village or smaller
E14000570,Blackburn,North West,109163,34,Lab,20368,0.6724074493377109,Large Town
E14000571,Blackley and Broughton,North West,121759,31,Lab,19601,0.5598621036176865,Core City (outside London)
E14000572,Blackpool North and Cleveleys,North West,83152,46,Con,2023,0.6410649241014899,Large Town
E14000573,Blackpool South,North West,79725,42,Lab,2523,0.5977937403796819,Large Town
E14000574,Blaydon,North East,88273,45,Lab,13477,0.7023766049752407,Small Town
E14000575,Blyth Valley,North East,83985,44,Lab,7915,0.6700307498225971,Medium Town
E14000576,Bognor Regis and Littlehampton,South East,106496,46,Con,17494,0.6772257902857821,Large Town
E14000577,Bolsover,East Midlands,98531,44,Lab,5288,0.6335235397458769,Small Town
E14000578,Bolton North East,North West,97992,38,Lab,3797,0.6720360537236179,Other City
E14000579,Bolton South East,North West,105872,35,Lab,13126,0.6143918938536133,Other City
E14000580,Bolton West,North West,96124,42,Con,936,0.7013201093451653,Small Town
E14000581,Bootle,North West,99224,40,Lab,36200,0.6900867274124493,Medium Town
E14000582,Boston and Skegness,East Midlands,106272,45,Con,16572,0.6268676354492558,Medium Town
E14000583,Bosworth,East Midlands,104589,44,Con,18351,0.6878191547984962,Medium Town
E14000584,Bournemouth East,South West,107483,39,Con,7937,0.65179445241383,Other City
E14000585,Bournemouth West,South West,105394,37,Con,7711,0.6080606598811394,Other City
E14000586,Bracknell,South East,111021,39,Con,16016,0.7057159812623897,Large Town
E14000587,Bradford East,Yorkshire and The Humber,118123,31,Lab,20540,0.6481410447655174,Other City
E14000588,Bradford South,Yorkshire and The Humber,105363,36,Lab,6700,0.6058714133900106,Other City
E14000589,Bradford West,Yorkshire and The Humber,117969,30,Lab,21902,0.6738100876154393,Other City
E14000590,Braintree,East,101121,43,Con,18422,0.694752774974773,Medium Town
E14000591,Brent Central,London,147291,34,Lab,27997,0.6496478217120709,Core City (London)
E14000592,Brent North,London,136376,35,Lab,17061,0.6836145191178074,Core City (London)
E14000593,Brentford and Isleworth,London,134768,36,Lab,12182,0.7236508383824151,Core City (London)
E14000594,Brentwood and Ongar,East,96486,44,Con,24002,0.7048370122690396,Medium Town
E14000595,Bridgwater and West Somerset,South West,113002,47,Con,15448,0.6525298452303626,Village or smaller
E14000596,Brigg and Goole,Yorkshire and The Humber,88452,46,Con,12363,0.6819688507469464,Village or smaller
E14000597,"Brighton, Kemptown",South East,95938,37,Lab,9868,0.7247728042655355,Other City
E14000598,"Brighton, Pavilion",South East,112196,32,Green,14699,0.7642079325967729,Other City
E14000599,Bristol East,South West,100828,35,Lab,13394,0.7014983083615273,Core City (outside London)
E14000600,Bristol North West,South West,106013,36,Lab,4761,0.7171302065381658,Core City (outside London)
E14000601,Bristol South,South West,113526,34,Lab,15987,0.6551101045631956,Core City (outside London)
E14000602,Bristol West,South West,138885,28,Lab,37336,0.7699536574089008,Core City (outside London)
